event_id,title,content,source,publish_time,url,crawl_time,version,duration_type,duration_score,subject_type,subject_score,predictability_type,predictability_score,industry_tag_lv1,industry_tag_lv2,industry_score,sentiment_polarity,sentiment_confidence,sentiment_score,impact_scope_type,impact_scope_score,event_score,event_score_breakdown
b0824d43cb190f591e07fd327c65b880,中国证监会新闻发言人就《关于深化创业板改革 更好服务新质生产力发展的意见》答记者问,证监会深化创业板改革，服务新质生产力，是长期政策利好，影响广泛，提升市场对成长股的风险偏好。,csrc_news,2026-04-12T17:25:26+08:00,https://www.csrc.gov.cn/csrc/c100028/c7625374/content.shtml,2026-04-12T17:25:26+08:00,v1,长尾型,100,政策类,90,预披露型,85,科技,新质生产力概念,90,2,1.00,100,市场级,95,89.21,"{""strength"": 92.0, ""impact_scope"": 95.0, ""heat"": 60.83, ""time_decay"": 99.57}"
6e1e957584591e68960f18b5dbe25879,《中国证监会关于推出商业不动产投资信托基金试点的公告》公开征求意见的反馈情况,证监会推出商业REITs试点，是资本市场和房地产行业的重要结构性政策，影响深远，利好相关板块，并可能改变市场风险偏好。,csrc_news,2026-04-12T17:25:26+08:00,https://www.csrc.gov.cn/csrc/c100114/c7617522/content.shtml,2026-04-12T17:25:26+08:00,v1,长尾型,100,政策类,90,预披露型,85,房地产,"商业地产, REITs",85,2,1.00,100,市场级,95,88.67,"{""strength"": 91.0, ""impact_scope"": 95.0, ""heat"": 60.24, ""time_decay"": 99.57}"
d4a41d1a68dc3c30b4e34e0c0272f462,《证券期货市场监督管理措施实施办法》公开征求意见的反馈情况,该事件是关于证券期货市场监管政策的反馈，属于政策类事件，影响持续时间长，对金融行业有高度集中影响，且影响范围广及整个市场。政策制定过程具有预披露性，对市场稳定长期利好。,csrc_news,2026-04-12T17:25:26+08:00,https://www.csrc.gov.cn/csrc/c100114/c7617523/content.shtml,2026-04-12T17:25:26+08:00,v1,长尾型,100,政策类,90,预披露型,85,金融,"证券, 期货",95,1,0.70,75,市场级,95,88.16,"{""strength"": 90.5, ""impact_scope"": 95.0, ""heat"": 58.3, ""time_decay"": 99.57}"
5d946127f9634f2140a5b992369024c2,司法部、中国人民银行、金融监管总局、中国证监会、国家外汇局关于《中华人民共和国金融法（草案）》公开征求意见的通知,多部委联合发布金融法草案征求意见，属高级别政策，对金融市场具有长期、全局性影响，有助于构建更稳定的法治环境，提升市场风险偏好。,csrc_news,2026-04-12T17:25:26+08:00,https://www.csrc.gov.cn/csrc/c101981/c7621196/content.shtml,2026-04-12T17:25:26+08:00,v1,长尾型,100,政策类,90,半预期型,65,金融,金融全行业,95,1,1.00,75,市场级,95,87.33,"{""strength"": 86.5, ""impact_scope"": 95.0, ""heat"": 64.79, ""time_decay"": 99.57}"
ce7b49a8e6c6ca37f9621a44feed2f59,防非宣传优秀作品：远离非法集资 拒绝高利诱惑,该事件为防范非法集资的宣传作品，属于监管机构持续性的政策宣导，旨在维护金融市场秩序和保护投资者，对市场情绪具有长期正向引导作用。,csrc_news,2026-04-12T17:25:26+08:00,https://www.csrc.gov.cn/csrc/c106299/c7604819/content.shtml,2026-04-12T17:25:26+08:00,v1,长尾型,100,政策类,90,半预期型,65,金融,投资者保护,90,2,1.00,100,市场级,95,86.73,"{""strength"": 88.0, ""impact_scope"": 95.0, ""heat"": 56.3, ""time_decay"": 99.57}"
ff669bc121c91da822db476b5cac4ade,吴清主席在十四届全国人大四次会议经济主题记者会上答记者问,吴清主席在全国人大记者会上的讲话，作为证监会主席在国家级会议上的政策表态，对资本市场具有长尾型、政策类、预披露的宏观影响，情绪中性因无具体内容，影响范围为市场级。,csrc_news,2026-04-12T17:25:26+08:00,https://www.csrc.gov.cn/csrc/c106311/c7618555/content.shtml,2026-04-12T17:25:26+08:00,v1,长尾型,100,政策类,90,预披露型,85,金融,"资本市场, 证券",90,0,1.00,50,市场级,95,86.54,"{""strength"": 87.0, ""impact_scope"": 95.0, ""heat"": 58.01, ""time_decay"": 99.57}"
3275091db289a6c477541413c6bf00c0,中国证监会印发2026年度立法工作计划,证监会发布立法计划，属于政策类事件，对资本市场整体具有长尾型、市场级影响，通常被视为利好市场长期健康发展，且信息源权威。可预测性属于半预期型。,csrc_news,2026-04-12T17:25:26+08:00,https://www.csrc.gov.cn/csrc/c100028/c7625742/content.shtml,2026-04-12T17:25:26+08:00,v1,长尾型,100,政策类,90,半预期型,65,金融,资本市场监管,95,1,1.00,75,市场级,95,85.96,"{""strength"": 86.5, ""impact_scope"": 95.0, ""heat"": 55.64, ""time_decay"": 99.57}"
6a805beb98110ad5a00b72685317650c,中国证监会关于就《关于修改〈证券期货行政执法当事人承诺制度实施规定〉的决定（征求意见稿）》公开征求意见的通知,证监会发布行政执法制度征求意见稿，属于政策类事件，影响资本市场整体的监管环境和风险偏好，具有长尾效应。具体内容未披露，故情绪中性。,csrc_news,2026-04-12T17:25:26+08:00,https://www.csrc.gov.cn/csrc/c101981/c7598114/content.shtml,2026-04-12T17:25:26+08:00,v1,长尾型,100,政策类,90,半预期型,65,金融,"证券, 期货",90,0,1.00,50,市场级,95,85.68,"{""strength"": 83.0, ""impact_scope"": 95.0, ""heat"": 64.31, ""time_decay"": 99.57}"
2f1c12225e450d7a2f264215eb93ead3,关于《中国证监会关于推出商业不动产投资信托基金试点的公告（征求意见稿）》公开征求意见的通知,CSRC发布商业不动产REITs试点征求意见稿，是重磅政策利好，将长期影响房地产及金融行业，并可能引发市场风险偏好切换。,csrc_news,2026-04-12T17:25:26+08:00,https://www.csrc.gov.cn/csrc/c101981/c7598021/content.shtml,2026-04-12T17:25:26+08:00,v1,长尾型,100,政策类,90,突发型,40,房地产,"商业地产, REITs",90,2,1.00,100,市场级,95,85.34,"{""strength"": 83.0, ""impact_scope"": 95.0, ""heat"": 62.0, ""time_decay"": 99.57}"
d5519653f0d7bcdd7bfd46677f3a7df8,【第4号公告】《关于短线交易监管的若干规定》,新规对短线交易进行监管，属于政策类事件，对市场行为有长尾影响，且影响范围是市场级的。监管收紧方向有预期但具体内容和时点突发，对市场情绪偏利好。,csrc_news,2026-04-12T17:25:26+08:00,https://www.csrc.gov.cn/csrc/c101954/c7618648/content.shtml,2026-04-12T17:25:26+08:00,v1,长尾型,100,政策类,90,半预期型,65,金融,证券/市场监管,85,1,1.00,75,市场级,95,85.17,"{""strength"": 84.5, ""impact_scope"": 95.0, ""heat"": 56.39, ""time_decay"": 99.57}"
c7e73346586f8bdc9b2e2b5f52502674,中国证监会召开2026年系统工作会议,证监会系统工作会议是政策类事件，通常是年度例行会议，对整个资本市场有中期影响，情绪中性，影响范围广。,csrc_news,2026-04-12T17:25:26+08:00,https://www.csrc.gov.cn/csrc/c106311/c7609372/content.shtml,2026-04-12T17:25:26+08:00,v1,中期型,80,政策类,90,预披露型,85,金融,资本市场,90,0,0.70,50,市场级,95,84.30,"{""strength"": 83.0, ""impact_scope"": 95.0, ""heat"": 55.12, ""time_decay"": 99.57}"
a229529e90c74d38f89dd13b38be1266,监管规则适用指引——发行类第10号,监管规则指引，影响资本市场发行融资行为，属政策类长尾事件，范围广，具体情绪待定。,csrc_news,2026-04-12T17:25:26+08:00,https://www.csrc.gov.cn/csrc/c101802/c7480680/content.shtml,2026-04-12T17:25:26+08:00,v1,长尾型,100,政策类,90,半预期型,65,金融,资本市场/证券发行,90,0,0.50,50,市场级,95,84.25,"{""strength"": 83.0, ""impact_scope"": 95.0, ""heat"": 54.75, ""time_decay"": 99.57}"
f0f09603cef1c0c679f337034da26c1f,中国人民银行 中国证监会令 〔2025〕第7号 《金融基础设施监督管理办法》,央行与证监会联合发布金融基础设施监管办法，属政策类事件，影响金融行业核心运作，具长尾效应，对市场稳定长期利好，影响范围广。,csrc_news,2026-04-12T17:25:26+08:00,https://www.csrc.gov.cn/csrc/c101953/c7574897/content.shtml,2026-04-12T17:25:26+08:00,v1,长尾型,100,政策类,90,突发型,40,金融,金融基础设施,90,1,1.00,80,市场级,95,84.18,"{""strength"": 81.0, ""impact_scope"": 95.0, ""heat"": 60.26, ""time_decay"": 99.57}"
cbc8c1496585ebc2f62d62543727cc47,发行监管问答——关于上市公司非公开发行股票引入战略投资者有关事项的监管要求,监管机构发布非公开发行股票引入战略投资者要求，对资本市场融资行为产生长期、广泛影响，属政策类市场级事件。,csrc_news,2026-04-12T17:25:26+08:00,https://www.csrc.gov.cn/csrc/c100107/c1447186/content.shtml,2026-04-12T17:25:26+08:00,v1,长尾型,100,政策类,90,半预期型,65,金融,股权融资,80,0,1.00,50,市场级,95,84.12,"{""strength"": 81.0, ""impact_scope"": 95.0, ""heat"": 59.9, ""time_decay"": 99.57}"
eec352d58b19095ee3bb922ad8ff02d7,关于发行审核业务问答部分条款调整事项的通知,发行审核业务问答条款调整属政策类事件，对资本市场有长尾影响，范围广。具体条款未披露，情绪暂定中性。,csrc_news,2026-04-12T17:25:26+08:00,https://www.csrc.gov.cn/csrc/c100107/c1447185/content.shtml,2026-04-12T17:25:26+08:00,v1,长尾型,100,政策类,90,半预期型,65,金融,证券/资本市场,85,0,0.50,50,市场级,95,83.97,"{""strength"": 82.0, ""impact_scope"": 95.0, ""heat"": 55.86, ""time_decay"": 99.57}"
